Subject,VGMM_ses1
CT002,1
CT003,0
CT004,1
CT005,1
CT007,1
CT008,1
CT010,1
CT012,1
CT013,1
CT015,0
CT016,0
CT017,1
CT018,1
CT020,1
CT021,0
CT023,1
CT024,0
CT025,0
CT026,0
CT027,1
CT028,1
CT029,1
CT030,1
CT032,0
CT033,1
CT034,0
CT035,0
CT039,0
CT041,0
CT042,1
CT043,0
CT046,1
CT051,0
CT056,1
CT057,0
CT058,1
CT062,1
CT065,1
NT002,1
NT003,1
NT005,0
NT006,0
NT007,0
NT010,0
NT013,0
NT015,0
NT016,1
NT017,1
NT019,0
NT020,0
NT025,0
NT026,1
NT027,0
NT028,1
NT029,1
NT030,0
NT031,1
NT032,1
NT033,0
NT035,1
NT036,0
NT038,1
NT039,0
NT040,0
NT041,0
NT042,0
NT043,1
NT044,1
NT047,0
NT048,1
NT049,0
NT051,1
NT052,0
NT053,0
NT055,1
NT056,1
NT057,0
NT059,1
NT060,1
NT063,1
NT065,0
NT066,1
NT067,0
NT068,0
NT069,1
NT070,1
NT074,1
NT075,1
NT077,1
NT078,1
NT081,0
NT082,0
NT083,1
NT087,1
NT088,1
NT090,1
NT093,0
NT096,0
NT100,1
NT112,1
NT113,0
NT114,0
NT118,1
NT119,0
NT121,0
NT124,0
NT125,1
NT126,0
NT131,0
NT132,0
NT134,0
NT135,0
NT137,0
NT142,1
