feature,PC1_loading
Left PO parietal operculum,0.12612149540533044
Left MFC medial frontal cortex,0.12466950664265314
Right PoG postcentral gyrus,0.12251636668259261
Left SCA subcallosal area,0.12230977044702138
Right SMG supramarginal gyrus,0.12111856318818968
Left SMC supplementary motor cortex,0.1199138220843557
Left MSFG superior frontal gyrus medial segment,0.11948432125965046
Right SFG superior frontal gyrus,0.11924069278522043
Right MFG middle frontal gyrus,0.11915813288441643
Right PrG precentral gyrus,0.11904801191707179
